Team,Wins_actual,Losses_actual
Atlanta Hawks,36,46
Boston Celtics,64,18
Cleveland Cavaliers,48,34
New Orleans Pelicans,49,33
Chicago Bulls,39,43
Dallas Mavericks,50,32
Denver Nuggets,57,25
Golden State Warriors,46,36
Houston Rockets,41,41
LA Clippers,51,31
Los Angeles Lakers,47,35
Miami Heat,46,36
Milwaukee Bucks,49,33
Minnesota Timberwolves,56,26
Brooklyn Nets,32,50
New York Knicks,50,32
Orlando Magic,47,35
Indiana Pacers,47,35
Philadelphia 76ers,47,35
Phoenix Suns,49,33
Portland Trail Blazers,21,61
Sacramento Kings,46,36
San Antonio Spurs,22,60
Oklahoma City Thunder,57,25
Toronto Raptors,25,57
Utah Jazz,31,51
Memphis Grizzlies,27,55
Washington Wizards,15,67
Detroit Pistons,14,68
Charlotte Hornets,21,61
